title,category,image_url,ingredients,instructions
Tofuryba świąteczna,Przystawki,,,
Kulebiak z kiszoną kapustą,Przystawki,,,
Zupa na kwarantannę,Przystawki,,,
Boczniaki z burakami i żurawiną,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2018/12/IMG_9204_male-600x900.jpg,"500 g boczniaków sól olej do smażenia; 1 – 2 upieczone buraki 1/2 szklanki żurawiny, suszonej 1/2 czerwonej cebula; Składniki marynaty: 1/4 szklanki oleju lnianego tłoczonego na zimno 3 łyżki octu jabłkowego 2 – 3 łyżki sosu sojowego 2 liście laurowe 5 goździków 4 ziarna pieprzu 2 ziela angielskie 1/4 łyżeczki soli","Piekarnik rozgrzać do 180 stopni. Boczniaki pokroić wzdłuż na małe paseczki. Natrzeć je porządnie olejem, obsypać solą i wysypać na blachę wyłożoną papierem do pieczenia. Piec przez 20 minut czyli do momentu, aż będą miękkie.
W międzyczasie buraki obrać i pokroić w kostkę, żurawinę posiekać, cebulę pokroić w cienkie plasterki. W miseczce wymieszać wszystkie pozostałe składniki, czyli marynatę do boczniaków.
Upieczone boczniaki wyjąć i przełożyć do dużej miski. Dodać wszystkie składniki i porządnie wymieszać. Tak przygotowane boczniaki przełożyć do dużego słoja i odstawić do lodówki przynajniej na kilka godzin, a najlepiej na całą noc lub kilka dni. Podawać z pieczywem lub bez dodatków, przechowywać do 2 tygodni."
Boczniaki z burakami i żurawiną,Przystawki,,,
Boczniaki z burakami i żurawiną,Przystawki,,,
"Tom kha, czyli zupa kokosowa",Przystawki,,,
Boczniaki z burakami i żurawiną,Przystawki,,,
Birmańska sałatka z pomidorów,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2018/09/IMG_9467_male-600x900.jpg,"2 szalotki lub 1/2 małej cebuli sok z 1/2 limonki; 3 łyżki orzechów ziemnych 2 łyżki sezamu; 500 g pomidorów 1 łyżka sosu sojowego 1/2 łyżki oleju, sezamowego albo neutralnego w smaku 1/2 pęczka kolendry szczypta soli opcjonalnie: 1 łyżka prażonej cebulki","Szalotki pokroić w półplasterki i włożyć do szklanki. Z limonki wycisnąć sok, wlać do szalotek, wymieszać i zostawić.
W między czasie mocno rozgrzać małą patelnię. Na gorącą, suchą patelnię dodać sezam, uprażyć, przesypać na talerzyk. Dodać fistaszki, uprażyć i przesypać na deskę.
Uprażone orzechy dość mocno rozgnieść – można zrobić to na desce używając wałka albo innego ciężkiego przedmiotu.
Pomidory pokroić na mniejsze kawałki, kolendrę posiekać i wrzucić do miski. Dodać sos sojowy, olej, sól oraz wszystkie naszykowane wcześniej składniki i porządnie wymieszać. Spróbować i podawać bez żadnych dodatków jako lunch, naprawdę świetnie smakuje z ciepłym ryżem."
Pieczone szparagi z pomidorkami,Przystawki,,,
"Tom kha, czyli zupa kokosowa",Przystawki,,,
Wegańskie tzatziki,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2018/08/IMG_7995_male-600x900.jpg,"500 g ogórków 1/2 łyżeczki soli; 1 ząbek czosnku 1 łyżka soku z cytryny szczypta soli; 1 1/4 – 1 1/2 szklanka jogurtu sojowego lub kokosowego / 400 g; 4 – 5 gałązek kopru 1 gałązka mięty, opcjonalnie sól i pieprz oraz: oliwa z oliwek dodatkowy sprzęt: gaza, tetra lub czysta kuchenna ściereczka do odciśnięcia ogórków","Ogórki obrać, przekroić na pół i przy pomocy łyżeczki wyjąć galaretkowate wnętrze z pestkami. Tak przygotowane ogórki zetrzeć na grubych oczkach tarki do miski, dodać sól i wymieszać.
Czosnek zetrzeć na drobnych oczkach tarki, włożyć do szklanki, dodać sok z cytryny oraz sól. Wymieszać i odstawić zarówno ogórki, jak i czosnek na 15 – 30 minut.
Po upływie tego czasu ogórki porządnie odcisnąć w ściereczce – powinny być prawie suche, a soku powinno zebrać sie naprawdę sporo.
Odciśnięte ogórki włożyć z powrotem do miski. Posiekać świeże zioła i dodać do ogórków razem z jogurtem oraz czosnkiem namoczonym w soku z cytryny. Dokładnie wymieszać, doprawić do smaku solą oraz czarnym pieprzem. Przełożyć do miseczki, polać odrobiną oliwy z oliwek oraz oprószyć czarnym pieprzem. Świetnie smakuje z falafelami, wegeburgerami, pieczywem a nawet po prostu z pokrojonymi warzywami."
"Tarator, wegański chłodnik z ogórków",Przystawki,,,
Paprykowe gazpacho z wędzoną papryką,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2018/08/IMG_8991_male-600x900.jpg,"1 kg pomidorów, malinowych i zwykłych 2 papryki czerwone 2 ogórki gruntowe 1 czerwona cebula 1 łyżeczka papryki wędzonej 1 łyżeczka soli 3 plastry bagietki lub delikatnego pieczywa; 2 1/2 łyżki octu jabłkowego lub winnego 2 łyżki ajvaru, opcjonalnie 1/4 – 1/2 łyżeczki syropu z agawy lub dowolnego słodzika 1/4 łyżeczki płatków chili; 1/4 szklanki oliwy do podania: posiekany ogórek, posiekana papryka oraz chili","Ogórki obrać, a następnie wraz ze wszystkimi pozostałymi warzywami pokroić w grubą kostkę, dodać sól, wędzoną paprykę, połamaną na kawałki bagietkę i włożyć do dużej miski. Wymieszać i zostawić na blacie na przynajmniej 30 minut, a najlepiej na 1 – 2 godziny.
Po tym czasie warzywa odcisnąć na sicie nad miską, w miscezebrać sok z warzyw i go nie wylewać.Odciśnięte warzywa włożyć do kielicha blendera, dodać ocet, syrop z agawy, chili oraz opcjonalnie ajvar i wszystko dokładnie zblendować. Dodać sok z warzyw i blendować kolejną minutę na wysokich obrotach, a następnie powoli wlewać oliwę.
Na koniec doprawić do smaku solą i w razie potrzeby większą ilością octu, podawać z posiekanymi ogórkami oraz papryką i dodatkową szczyptą chili."
Leczo z kurkami,Przystawki,,,
Wegańska feta z arbuzem,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2018/07/IMG_8036_male-600x900.jpg,"Składniki na wegańską fetę:; 1/3 szklanki soku z cytryny 3 łyżki wody z ogórków kiszonych 1 łyżka soli 1/2 – 2/3 szklanki oliwy 2 łyżki płatków drożdżowych, opcjonalnie; 300 g tofu; Składniki na sałatkę: 1 kg arbuza 1 – 2 łyżki soku z limonki garstka świeżej mięty, posiekanej chili świeże lub suszone, opcjonalnie","Tofu pokroić w kostkę i ciasno ułożyć w dużym słoiku lub pojemniku.
Przy pomocy ręcznego blendera zmiksować wszystkie składniki zalewy na gładką emulsję. Zalać tofu i odstawić do lodówki przynajmniej na jedną dobę.
Następnego dnia tofu dokładnie odsączyć, zalewę pozostawić – można w niej zamarynować kolejną porcję. Odsączone tofu pokruszyć do miski.
Arbuza pokroić w kostkę, wymieszać z tofu, miętą, sokiem z limonki oraz chili. Jeśli macie ochotę spróbować innych wersji tej sałatki, poniżej znajdziecie kilka propozycji."
Wegańska feta z arbuzem,Przystawki,,,
"Tom kha, czyli zupa kokosowa",Przystawki,,,
Prosta surówka z kapusty i migdałów,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2018/07/IMG_8294_male-600x900.jpg,,"Kapustę drobno poszatkować, włożyć do dużej miski. Dodać sól, cukier i chwilę powygniatać. Zostawić na kilka minut do zmięknięcia.
W międzyczasie rozgrzać małą patelnię. Wysypać na nią płatki migdałowe i dobrze je uprażyć. Odsypać na talerzyk i zostawić do wystudzenia.
Pietruszkę i szczypiorek posiekać; otrzeć odrobinę skórki z cytryny. Dodać wszystko do młodej kapusty razem z odrobiną soku z cytryny i większością uprażonych migdałów – łyżkę warto zostawić do posypania na koniec.
Dokładnie wymieszać, doprawić solą oraz czarnym pieprzem. Na koniec posypać resztą uprażonych migdałów. Jeść jako dodatek do dań głównych albo razem z wieloziarnistym pieczywem lub ugotowaną kaszą na lekki lunch."
Prosta surówka z kapusty i migdałów,Przystawki,,,
Szparagowe tabbouleh,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2018/05/IMG_7059male-600x900.jpg,1/4 szklanki kaszy jaglanej sól; 1 pęczek zielonych szparagów / 500 g 2 pęczki pietruszki 1/2 pęczka kolendry 1/2 pęczka mięty 2 szalotki lub 1/4 młodej cebuli 2 – 3 łyżki soku z cytryny 2 – 3 łyżki oliwy 1/8 łyżeczki kuminu sól i pieprz,"Najpierw ugotować kaszę jaglaną. W czajniku zagotować wodę. Kaszę jaglaną przepłukać wrzątkiem na sitku, następnie włożyć do małego rondelka i wlać 1/2 szklanki wrzątku oraz dodać sporą szczyptę soli. Postawić na małym ogniu, doprowadzić do wrzenia i gotować przez 5 – 8 minut na minimalnym ogniu nie podnosząc pokrywki i nie mieszając. Po tym czasie wyłączyć ogień i kaszę zostawić pod przykryciem na 15 minut– wypije całą wodę i będzie sypka.
W czasie kiedy kasza się gotuje przygotować szparagi. W dużej patelni lub rondlu zagotować wodę, dodać sól. Szparagom odciąć końcówki, wrzucić na wrzątek i gotować 2 – 3 minuty. W tym czasie naszykować dużą miskę z wodą i kostkami lodu.
Obgotowane szparagi przerzucić do lodowatej wody i całkowicie schłodzić. Posiekać drobno wszytkie zioła oraz cebulki, przełożyć do dużej miski. Schłodzone szparagi wyjąć z wody, osuszyć papierowym ręcznikiem i pokroić w drobne plasterki.
Tak przygotowane szparagi dodać do ziół wraz z resztą składników i ugotowaną kaszą jaglaną, a następnie wszystko po prostu dokładnie wymieszać. W razie potrzeby doprawić do smaku większą ilością soli lub cytryną. Dobrze smakuje od razu po zrobieniu, ale też następnego dnia."
Pieczone szparagi z pomidorkami,Przystawki,,,
Ekspresowe szparagi w sosie tahini,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2018/05/IMG_7134-2_male-600x900.jpg,,"Do dużej patelni lub rondla wlać wodę, dodać sól i postawić na największym palniku aby szybko doprowadzić do wrzenia. W tym czasie szparagom odciąć zdrewniałe końcówki i przygotować sos.
Do kubeczka blenderalubdo miseczki dodać wszystkie składniki sosu i zblendować lub wymieszać widelcem. Spróbować i w razie potrzeby dodać więcej soli lub soku z cytryny, a jeśli sos jest za gęsty dodać więcej wody.
Do gotującej się wody wrzucić szparagi i gotować 2 – 4 minuty. Na dnie półmiska lub talerza rozsmarować 2/3 sosu tahini. Posiekać kolendrę oraz pistacje lub migdały. Gotowe szparagi szybko odcedzić, położyć na przygotowanym talerzu, oblać resztą sosu tahini i posypać dodatkami."
Birmańska sałatka z kapusty i imbiru,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2018/05/IMG_6965-copy_male-600x900.jpg,"Dzień wcześniej: kawałek imbiru wielkości 2 kciuków 1/4 szklanki soku z cytryny; 1/2 szklanki ciecierzycy, suchej 1/2 szklanki soczewicy, suchej; W dniu jedzenia:; 3 łyżki oleju do smażenia 3 ząbki czosnku 1/4 szklanki sezamu; 400 g kapusty pekińskiej lub młodej kapusty 1 pęczek szczypiorku 1 pęczek kolendry lub pietruszki 2 – 4 łyżki sosu sojowego 2 – 3 łyżki soku z cytryny 1/8 łyżeczki soli kawałek ogórka, opcjonalnie","Wieczór przed planowanym jedzeniem: do jednej miski wsypać soczewicę, do drugiej ciecierzycę i do każdej wlać tyle wody, żeby przykryła strączki. Następnie imbir obrać i pokroićbardzo cieniutko na zapałki.Przełożyć do miseczki, zalać sokiem z cytryny i odstawić wszystkie trzy składniki na noc do namoczenia.
Następnego dnia można przygotować sałatkę. Odlać wodę z ciecierzycy oraz soczewicy i każdy rodzaj strączków z osobna wytrzeć dokładnie papierowym ręcznikiem. Na dnie dużej patelni rozgrzać olej i dodać ciecierzycę, smażyć przez 2 – 3 minuty do momentu, aż lekko się zarumieni. Wtedy dodać soczewicę i smażyć kolejne 2 – 3 minuty do momentu, aż również lekko się zarumieni.
W międzyczasie czosnek pokroić na plasterki. Dodać do patelni razem z sezamem i smażyć ostatnią minutę. Przełożyć zawartość patelni razem z olejem do dużej miski.
Kapustę oraz zioła drobno posiekać, dodać do miski. Do tego dodać odcedzony imbir, sos sojowy, sok z cytryny oraz sól i dokładnie wymieszać. Spróbować i doprawić w razie potrzeby większą ilością sosu sojowego lub cytryny. Dobre od razu po wymieszaniu oraz następnego dnia."
Tofu zmieniające życie,Przystawki,,,
Spaghetti ratunkowe,Przystawki,,,
Tajskie boczniaki,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2018/04/IMG_6744_male-600x900.jpg,500 g boczniaków 2 łyżki oleju spora szczypta pieprzu spora szczypta soli; Sos: 3 łyżki soku z limonki 1 1/2 łyżki sosu sojowego 1 łyżeczka cukru trzcinowego 1 trawa cytrynowa kawałek chili lub innej ostrej papryczki; 2 szalotki garść mięty garść kolendry mała garść szczypiorku,"Boczniaki pokroić w paski, wrzucić do dużej miski. Dodać olej, sól oraz pieprz i dokładnie wymieszać.
Mocno rozgrzać dużą patelnię grillową, dodać boczniaki i zgrillować na złoto z obydwu stron. Jeszcze lepiej smakują zgrillowane na prawdziwym grillu, w zależności od żaru zajmuje to od 8 do 15 minut.
W międzyczasie gdy grzyby się grillują bardzo drobno posiekać trawę cytrynową i wymieszać z pozostałymi składnikami sosu. Spróbować i w razie potrzeby dodać szczyptę cukru lub sosu sojowego więcej. Szalotkę pokroić w paseczki, a zioła podrzeć.
Zgrillowane boczniaki ponownie włożyć do miski, w której były nacierane, wymieszać z sosem, szalotkami oraz połową ziół. Przełożyć na półmisek i obsypać resztą ziół. Dobre na ciepło oraz na zimno następnego dnia."
Wegańskie pancakes doskonałe,Przystawki,,,
Łososiowa marchewka na trzy sposoby,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2017/12/IMG_5476_male-600x900.jpg,,"Kawałki pumpernikla posmarować obficie chrzanem, na to kłaść garstkę łososiowej marchewki, skropić sokiem z cytryny i obsypać pieprzem oraz koprem."
Zupa na kwarantannę,Przystawki,,,
Łososiowa marchewka,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2017/12/IMG_5401-2_male-600x900.jpg,"500 g marchwii 1/2 łyżeczki wędzonej soli 1 – 2 łyżki oleju takiego jak do smażenia; 1 1/4 – 1 1/2 łyżeczki wędzonej soli 2 łyżki wrzątku; 3 łyżki oleju lnianego tłoczonego na zimno 2 łyżki sosu sojowego 1 1/4 – 1 1/2 łyżki octu jabłkowego 1/2 łyżeczki kolendry; oraz do podania: czerwona cebula, koperek, kapary, sok z cytryny","Piekarnik rozgrzać do 180 stopni. Przy pomocy obieraczki lub mandoliny lub ręcznie nożem marchewkę marchewkę pokroić na cienkie plasterki / płatki.
Marchew wrzucić do miski, dodać olej do smażenia oraz mniejszą część wędzonej soli i porządnie, dokładnie natrzeć obierki dłońmi. Muszą być równo pokryte cienką warstwą oleju.
Tak przygotowaną marchew zawinąć w paczuszkę z folii aluminiowej lub przełożyć do szczelnego naczynia żaroodpornego i piec przez 10 – 15 minut. Obierki mają być miękkie, ale nie przypalone.
W czasie kiedy marchew się piecze zagotować w czajniku trochę wody i naszykować szklankę. Odmierzyć łyżkę wody, dodać do szklanki i rozpuścić w niej sól. Do słonej mieszanki dodać sos sojowy, ocet jabłkowy, ziarna kolendry i na koniec olej lniany. Dokładnie wymieszać i odstawić.
Upieczone, miękkie obierki marchewki włożyć do małego pojemnika, zalać przygotowaną mieszanką, wymieszać i odstawić do lodówki przynajmniej na godzinę lub na całą noc. Żeby przyspieszyć proces pojemnik dobrze jest przykryć folią i dociążyć, na przykład słoikiem.
Kiedy marchewka się zamarynuje można podawać gravlaxa. Koperek drobno posiekać, cebulkę pokroić w drobną kostkę. Marchew wyłożyć na półmisek lub talerz, posypać cebulką, koperkiem, kaparami, a na koniec skropić sokiem z cytryny. Podawać jako przystawkę, w bajglu, w sałatkach, z makaronem albo z ciemnym pieczywem."
Boczniaki po kaszubsku,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2017/12/IMG_5103_male-600x900.jpg,500 g boczniaków olej do smażenia; 2 cebule 6 suszonych śliwek; 2 goździki 2 ziarna ziela angielskiego 1 liść laurowy 1 łyżeczka ostrej papryki 1 łyżeczki soli spora szczypta czarnego pieprzu; 3 łyżki koncentratu pomidorowego 2 – 3 łyżki octu 2 łyżki sosu sojowego 1 łyżeczka gorczycy 1/4 łyżeczka cynamonu 1/2 łyżeczki majeranku 1/2 szklanki wody; 3 – 4 łyżki oleju lnianego 1 – 2 ogórki kiszone sól,"Boczniaki pokroić w grube paski. Na dnie patelni rozgrzać sporą ilość oleju, dodać boczniaki nie mieszać. Zamieszać dopiero po 1 – 2 minutach i usmażyć na złoto, a następnie odsączyć na papierowym ręczniku.
Z patelni odlać nadmiar oleju, do smażenia cebuli wystarczy jedna łyżka. Cebulę pokroić w półksiężyce, a śliwki w paski. Włączyć ogień pod patelnią, rozgrzać olej i dodać cebulę oraz śliwki. Smażyć na niedużym ogniu przez 1 minutę.
Następnie do cebulki dodać goździki, ziele angielskie, liście laurowe, ostrą paprykę, sól oraz pieprz i wszystko smażyć na niedużym ogniu do czasu, aż cebulka zmięknie, czyli przez kolejne 2 – 3 minuty.
Do miękkiej cebuli dodać wszystkie pozostałe składniki poza olejem lnianym i ogórkami. Zwiększyć ogień pod patelnią, dusić przez minutę, po czym dodać usmażone boczniaki. Dusić jeszcze 2 – 3 minuty i przełożyć do plastikowego pojemnika.
Boczniaki chwilę przestudzić. W tym czasie pokroić w drobną kostkę kiszonego ogórka i dodać go do boczniaków razem z olejem lnianym. Dokładnie wymieszać i w razie potrzeby dodać szczyptę soli lub więcej octu. Zjeść od razu lub odstawić do lodówki. Najlepiej smakuje następnego dnia, z dobrym chlebem lub bez żadnych dodatków."
Meksykańskie boczniaki pibil,Przystawki,,,
Meksykańskie boczniaki pibil,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2017/12/IMG_4882-copy_male-600x900.jpg,"3 ząbki czosnku; 1 łyżeczka ostrej papryki 1 łyżeczka wędzonej papryki 1/4 łyżeczki oregano 1/4 łyżeczki kuminu 1/2 kulki jałowca 1/2 liścia laurowego na czubku noża: czarny pieprz i cynamon 3 łyżki oleju; 3 łyżki soku z pomarańczy 1 – 2 łyżeczki octu winnego 1 – 2 łyżeczki limonki 1 łyżka sosu sojowego 1 łyżeczka syropu klonowego 1/4 łyżeczki soli; 500 g boczniaków 1 cebula; do podania: kolendra, świeża czerwona cebula, ryż lub tortille","Piekarnik rozgrzać do 200 stopni. Ząbki czosnku w skórce opalić nad kuchenką gazową albo uprażyć na bardzo mocno rozgrzanej, suchej patelni. Następnie obrać i zostawić.
Na małym palniku delikatnie rozgrzać małą patelnię z olejem. Dodać wszystkie przyprawy i smażyć dokładnie mieszając przez 30 sekund, zdjąć z ognia.
Do kubeczka blendera dodać zawartość patelni, ząbki czosnku oraz wszystkie pozostałe składniki poza boczniakami. Zblendować na gładki, gęsty sos. Boczniaki pociąć na grube paski wzdłuż blaszek i włożyć do dużej miski.
Na boczniaki wylać sos z blendera, bardzo dokładnie je natrzeć przy pomocy dłoni, a następnie wysypać na blachę wyłożoną papierem do pieczenia. Cebulę pokroić w półksiężyce i wysypać na wierzch boczniaków. Wsunąć do piekarnika i piec przez 18 – 20 minut, w trakcie pieczenia raz wymieszać boczniaki. Podawać z kolendrą, ryżem lub w tacoasach, dobrze smakuje też z kawałkami świeżej cebulki albo prażonymi pestkami."
Fasolka szparagowa po grecku,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2017/08/IMG_3914-2_male-600x900.jpg,"1/2 cebuli oliwa; 1 ząbek czosnku; 400 g fasolki szparagowej, żółtej lub zielonej; 2 duże pomidory, najlepiej malinowe lub bawole serca 1/8 łyżeczki cynamonu szczypta soli; do podania: pieprz, oliwki, oregano","Fasolkę oczyścić, cebulę pokroić w kostkę. Na dnie patelni rozgrzać olej, dodać cebulę i smażyć przez 2 – 3 minuty. W międzyczasie czosnek drobno posiekać i dodać do cebuli, smażyć przez 1 minutę. Wtedy dodać fasolkę i dokładnie mieszać przez kolejną minutę.
Do fasolki na patelni zetrzeć pomidory – ja robię to tak jak na zdjęciu, trzymając tarkę nad patelnią. Należy użyć ostrych, lekko postrzępionych oczek, które łatwo radzą sobie ze skórką pomidorów.
Kiedy obydwa pomidory są starte, dodać cynamon i sporą szczyptę soli. Porządnie zamieszać i przykryć patelnię pokrywką. Dusić przez 8 – 10 minut na dużym ogniu, czyli do czasu, aż fasolka będzie miękka, a sos kleisty i w niedużej ilości. Gotową fasolkę podawać na przystawkę, lekki lunch lub z plackami pita, ulubionym ryżem albo kaszą."
Dal z kalafiora,Przystawki,,,
Fasolka szparagowa po grecku,Przystawki,,,
Gazpacho czy salmorejo? Chłodnik ulubiony,Przystawki,https://www.jadlonomia.com/wp-content/uploads/2017/08/IMG_4095-2_male1-600x900.jpg,"5 pomidorów, najlepiej malinowych 1 papryka czerwona 2 ogórki gruntowe 1/2 czerwonej cebuli 1 łyżeczka soli 3 plastry bagietki lub delikatnego pieczywa; 2 1/2 łyżki octu jabłkowego lub winnego 1/4 – 1/2 łyżeczki syropu z agawy szczypta chili, opcjonalnie; 1/4 – 1/3 szklanki oliwy do podania: posiekany ogórek, posiekana papryka oraz czarny pieprz","Ogórki obrać, a następnie wraz ze wszystkimi pozostałymi warzywami pokroić w grubą kostkę, dodać sól, połamaną na kawałki bagietkę i włożyć do dużej miski. Wymieszać i zostawić na blacie na przynajmniej 30 minut, a najlepiej na 1 – 2 godziny.
Po tym czasie warzywa odcisnąć na sicie nad miską, w miscezebrać sok z warzyw i go nie wylewać.Odciśnięte warzywa włożyć do kielicha blendera, dodać ocet, syrop z agawy oraz chili i wszystko dokładnie zblendować. Dodać sok z warzyw i blendować kolejną minutę na wysokich obrotach, a następnie powoli wlewać oliwę.
Na koniec doprawić do smaku solą w razie potrzeby, podawać z mnóstwem posiekanych warzyw oraz szczyptą czarnego pieprzu."
